3,4,4,500,6,950,45303,60.343,7.1191,4.8998,15.565,22.878,1.8799,189.09,59.477,83.117,209.62,6.25,6.1714,26.923,26.305,52.209,671.98,2.0522,99.491,10781,193.89,0.9815
1,2,5,400,5.5,1000,47281,65.32,9.3263,4.9888,16.624,24.501,1.8799,215.6,70.188,98.916,203.08,5.75,6.7449,33.134,31.305,54.156,657.86,2.002,98.224,9822.4,200.45,0.83447
1,3,5,400,5.75,1000,46116,62.735,8.0882,5.0536,16.065,23.648,1.8799,201.48,64.478,90.502,203.08,6,6.4454,29.837,28.642,52.956,668.27,2.0354,101.21,10052,197.88,0.82739
1,4,5,400,6,1000,44672,60.572,7.1191,5.1296,15.565,22.878,1.8799,189.09,59.477,83.117,203.08,6.25,6.1714,26.923,26.305,51.612,675.02,2.0573,103.84,10233,194.95,0.82067
2,3,5,450,5.75,1000,46373,62.61,8.0882,4.929,16.065,23.648,1.8799,201.48,64.478,90.502,206.61,6,6.4454,29.837,28.642,53.074,670.97,2.044,102.08,10110,202.88,0.90905
2,4,5,450,6,1000,44915,60.433,7.1191,4.9904,15.565,22.878,1.8799,189.09,59.477,83.117,206.61,6.25,6.1714,26.923,26.305,51.719,677.81,2.0663,104.76,10294,200.38,0.90166
3,3,5,500,5.75,1000,46578,62.529,8.0882,4.8474,16.065,23.648,1.8799,201.48,64.478,90.502,209.62,6,6.4454,29.837,28.642,53.169,673.07,2.0508,102.77,10156,206.3,0.98954
3,4,5,500,6,1000,45109,60.343,7.1191,4.8998,15.565,22.878,1.8799,189.09,59.477,83.117,209.62,6.25,6.1714,26.923,26.305,51.807,679.96,2.0732,105.5,10342,204.09,0.9815
1,2,6,400,5.5,1050,47187,65.32,9.3263,4.9888,16.624,24.501,1.8799,215.6,70.188,98.916,203.08,5.75,6.7449,33.134,31.305,53.84,664.61,2.0196,103.87,9437,210.47,0.83447
1,3,6,400,5.75,1050,45981,62.735,8.0882,5.0536,16.065,23.648,1.8799,201.48,64.478,90.502,203.08,6,6.4454,29.837,28.642,52.617,675.37,2.054,107.01,9658.8,207.77,0.82739
1,4,6,400,6,1050,44501,60.572,7.1191,5.1296,15.565,22.878,1.8799,189.09,59.477,83.117,203.08,6.25,6.1714,26.923,26.305,51.252,682.46,2.0769,109.77,9835.1,204.7,0.82067
2,2,6,450,5.5,1050,47451,65.209,9.3263,4.8777,16.624,24.501,1.8799,215.6,70.188,98.916,206.61,5.75,6.7449,33.134,31.305,53.964,667.23,2.028,104.71,9489.4,215.27,0.91682
2,3,6,450,5.75,1050,46233,62.61,8.0882,4.929,16.065,23.648,1.8799,201.48,64.478,90.502,206.61,6,6.4454,29.837,28.642,52.733,678.1,2.0628,107.92,9714.3,213.03,0.90905
2,4,6,450,6,1050,44740,60.433,7.1191,4.9904,15.565,22.878,1.8799,189.09,59.477,83.117,206.61,6.25,6.1714,26.923,26.305,51.358,685.29,2.086,110.73,9893.5,210.4,0.90166
3,3,6,500,5.75,1050,46436,62.529,8.0882,4.8474,16.065,23.648,1.8799,201.48,64.478,90.502,209.62,6,6.4454,29.837,28.642,52.827,680.23,2.0696,108.65,9758.3,216.61,0.98954
3,4,6,500,6,1050,44932,60.343,7.1191,4.8998,15.565,22.878,1.8799,189.09,59.477,83.117,209.62,6.25,6.1714,26.923,26.305,51.445,687.46,2.093,111.51,9939.6,214.3,0.9815
