pressure index,i_d index,thrust index,tank pressure,inner diameter,thrust,max_alt,dry_mass,mass_fins,mass_eng,mass_tank,mass_str,mass_avionics,total length (ft),total length (in),tank_length,str_length,Isp,outer diameter,tank thickness,length_LOX,length_CH4,time to apogee,max_vel,max_Mach,max_acc,alt_max_vel,T2W,heat flux
3,2,5,500,6,1000,43787,65.681,7.6022,4.8998,16.983,22.878,1.8799,16.20,194.38,64.766,83.117,209.62,6.25,0.125,27.185,31.331,51.227,643.11,1.9565,99.049,9736.5,204.09,0.9815
1,1,6,400,5.75,1050,43787,68.774,8.8867,5.0536,18.066,23.648,1.8799,17.45,209.43,72.43,90.502,203.08,6,0.125,31.217,35.214,51.773,633.78,1.9231,99.918,9029.9,207.77,0.82739
2,1,6,450,5.75,1050,43855,68.237,8.763,4.929,17.777,23.648,1.8799,17.35,208.23,71.231,90.502,206.61,6,0.125,30.618,34.612,51.947,639.02,1.9396,101.19,9120.9,213.03,0.90905
2,2,6,450,6,1050,43869,66.087,7.6876,4.9904,17.213,22.878,1.8799,16.28,195.3,65.678,83.117,206.61,6.25,0.125,27.64,31.788,50.775,646.01,1.962,103.67,9283.9,210.4,0.90166
3,1,6,500,5.75,1050,43931,67.814,8.6615,4.8474,17.537,23.648,1.8799,17.27,207.24,70.237,90.502,209.62,6,0.125,30.123,34.114,52.088,643.26,1.953,102.23,9195.1,216.61,0.98954
3,2,6,500,6,1050,43955,65.681,7.6022,4.8998,16.983,22.878,1.8799,16.20,194.38,64.766,83.117,209.62,6.25,0.125,27.185,31.331,50.896,650.13,1.9751,104.74,9358.1,214.3,0.9815
1,1,7,400,5.75,1100,44030,68.774,8.8867,5.0536,18.066,23.648,1.8799,17.45,209.43,72.43,90.502,203.08,6,0.125,31.217,35.214,51.489,639.89,1.9392,105.38,8689.3,217.67,0.82739
2,1,7,450,5.75,1100,44036,68.237,8.763,4.929,17.777,23.648,1.8799,17.35,208.23,71.231,90.502,206.61,6,0.125,30.618,34.612,51.66,645.18,1.9559,106.7,8776.7,223.17,0.90905
2,2,7,450,6,1100,44107,66.087,7.6876,4.9904,17.213,22.878,1.8799,16.28,195.3,65.678,83.117,206.61,6.25,0.125,27.64,31.788,50.471,652.46,1.9791,109.3,8934.8,220.42,0.90166
3,1,7,500,5.75,1100,44124,67.814,8.6615,4.8474,17.537,23.648,1.8799,17.27,207.24,70.237,90.502,209.62,6,0.125,30.123,34.114,51.799,649.46,1.9694,107.8,8847.9,226.93,0.98954
3,2,7,500,6,1100,44193,65.681,7.6022,4.8998,16.983,22.878,1.8799,16.20,194.38,64.766,83.117,209.62,6.25,0.125,27.185,31.331,50.589,656.63,1.9922,110.43,9006.1,224.5,0.9815
1,1,8,400,5.75,1150,44213,68.774,8.8867,5.0536,18.066,23.648,1.8799,17.45,209.43,72.43,90.502,203.08,6,0.125,31.217,35.214,51.23,645.6,1.9543,110.84,8373.8,227.56,0.82739
2,1,8,450,5.75,1150,44284,68.237,8.763,4.929,17.777,23.648,1.8799,17.35,208.23,71.231,90.502,206.61,6,0.125,30.618,34.612,51.397,650.95,1.9711,112.22,8457.9,233.31,0.90905
2,2,8,450,6,1150,44290,66.087,7.6876,4.9904,17.213,22.878,1.8799,16.28,195.3,65.678,83.117,206.61,6.25,0.125,27.64,31.788,50.192,658.5,1.995,114.94,8611.4,230.44,0.90166
3,1,8,500,5.75,1150,44370,67.814,8.6615,4.8474,17.537,23.648,1.8799,17.27,207.24,70.237,90.502,209.62,6,0.125,30.123,34.114,51.534,655.27,1.9846,113.37,8526.4,237.24,0.98954
3,2,8,500,6,1150,44375,65.681,7.6022,4.8998,16.983,22.878,1.8799,16.20,194.38,64.766,83.117,209.62,6.25,0.125,27.185,31.331,50.308,662.72,2.0083,116.11,8680,234.7,0.9815
1,1,9,400,5.75,1200,44465,68.774,8.8867,5.0536,18.066,23.648,1.8799,17.45,209.43,72.43,90.502,203.08,6,0.125,31.217,35.214,50.994,651,1.9685,116.29,8081.7,237.45,0.82739
2,1,9,450,5.75,1200,44560,68.237,8.763,4.929,17.777,23.648,1.8799,17.35,208.23,71.231,90.502,206.61,6,0.125,30.618,34.612,51.159,656.4,1.9854,117.74,8162.7,243.46,0.90905
3,1,9,500,5.75,1200,44644,67.814,8.6615,4.8474,17.537,23.648,1.8799,17.27,207.24,70.237,90.502,209.62,6,0.125,30.123,34.114,51.293,660.77,1.9991,118.94,8228.7,247.56,0.98954
3,2,9,500,6,1200,44737,65.681,7.6022,4.8998,16.983,22.878,1.8799,16.20,194.38,64.766,83.117,209.62,6.25,0.125,27.185,31.331,50.053,668.5,2.0236,121.8,8378.1,244.91,0.9815
