pressure index,i_d index,thrust index,tank pressure,inner diameter,thrust,max_alt,dry_mass,mass_fins,mass_eng,mass_tank,mass_str,mass_avionics,Total_length (ft),total length,tank_length,str_length,Isp,outer diameter,CH4 thickness,LOX thickness,time to apogee,max_vel,max_Mach,max_acc,alt_max_vel,T2W,heat flux
1,1,8,400,5.25,1150,43745,77.581,11.067,4.9345,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,203.08,5.5,0.125,0.125,52.442,600.66,1.8138,101,2346.4,233.05,0.84192
1,2,8,400,5.5,1150,43766,73.896,9.4594,4.9888,25.067,24.501,1.8799,18.07,216.84,71.427,98.916,203.08,5.75,0.125,0.125,51.82,618.34,1.869,104.92,2428,230.51,0.83447
1,3,8,400,5.75,1150,43767,70.862,8.2192,5.0536,24.061,23.648,1.8799,16.90,202.82,65.817,90.502,203.08,6,0.125,0.125,50.931,631.86,1.9114,108.36,2495.5,227.56,0.82739
2,1,8,450,5.25,1150,43769,77.482,11.067,4.8358,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,206.61,5.5,0.125,0.125,52.56,602.86,1.8206,101.72,2358,237.81,0.92501
2,2,8,450,5.5,1150,43776,73.785,9.4594,4.8777,25.067,24.501,1.8799,18.07,216.84,71.427,98.916,206.61,5.75,0.125,0.125,51.935,620.68,1.8763,105.71,2440.6,235.77,0.91682
2,3,8,450,5.75,1150,43779,70.737,8.2192,4.929,24.061,23.648,1.8799,16.90,202.82,65.817,90.502,206.61,6,0.125,0.125,51.04,634.34,1.9192,109.2,2509,233.31,0.90905
3,1,8,500,5.25,1150,43781,77.417,11.067,4.7705,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,209.62,5.5,0.125,0.125,52.654,604.59,1.8261,102.31,2367.3,241.07,1.0069
3,2,8,500,5.5,1150,43807,73.711,9.4594,4.8045,25.067,24.501,1.8799,18.07,216.84,71.427,98.916,209.62,5.75,0.125,0.125,52.027,622.52,1.8821,106.34,2450.7,239.36,0.998
3,3,8,500,5.75,1150,43834,70.656,8.2192,4.8474,24.061,23.648,1.8799,16.90,202.82,65.817,90.502,209.62,6,0.125,0.125,51.128,636.27,1.9253,109.88,2519.7,237.24,0.98954
4,1,8,550,5.25,1150,43838,77.368,11.067,4.7218,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,212.26,5.5,0.125,0.125,52.734,606.02,1.8306,102.8,2375.2,243.55,1.0856
1,1,9,400,5.25,1200,43845,77.581,11.067,4.9345,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,203.08,5.5,0.125,0.125,52.253,605.38,1.8262,106.04,2264.4,243.18,0.84192
1,2,9,400,5.5,1200,43853,73.896,9.4594,4.9888,25.067,24.501,1.8799,18.07,216.84,71.427,98.916,203.08,5.75,0.125,0.125,51.611,623.33,1.8821,110.13,2343.2,240.54,0.83447
1,3,9,400,5.75,1200,43864,70.862,8.2192,5.0536,24.061,23.648,1.8799,16.90,202.82,65.817,90.502,203.08,6,0.125,0.125,50.704,637.14,1.9253,113.71,2408.5,237.45,0.82739
2,1,9,450,5.25,1200,43902,77.482,11.067,4.8358,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,206.61,5.5,0.125,0.125,52.37,607.59,1.8331,106.79,2275.6,248.15,0.92501
2,2,9,450,5.5,1200,43940,73.785,9.4594,4.8777,25.067,24.501,1.8799,18.07,216.84,71.427,98.916,206.61,5.75,0.125,0.125,51.725,625.7,1.8896,110.94,2355.3,246.02,0.91682
2,3,9,450,5.75,1200,43967,70.737,8.2192,4.929,24.061,23.648,1.8799,16.90,202.82,65.817,90.502,206.61,6,0.125,0.125,50.812,639.64,1.9332,114.59,2421.5,243.46,0.90905
3,1,9,500,5.25,1200,43992,77.417,11.067,4.7705,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,209.62,5.5,0.125,0.125,52.464,609.33,1.8386,107.4,2284.5,251.55,1.0069
