0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.20199,0.20103,0.19871,0.19537,0.19136,0.187,0.18264,0.17863,0.17529,0.17297,0.17201,0.17284,0.17547,0.17948,0.18444,0.18992,0.19548,0.2007,0.20514,0.20838,0.20998,0.21004,0.20987,0.20957,0.20914,0.20859,0.20792,0.20716,0.20629,0.20534,0.2043,0.20318,0.202,0.20075,0.19945,0.19811,0.19673,0.19531,0.19387,0.19241,0.19094,0.18947,0.188,0.18654,0.18511,0.1837,0.18232,0.18098,0.1797,0.17846,0.17729,0.17619,0.17517,0.17423,0.17339,0.17264,0.172,0.17142,0.17083,0.17025,0.16967,0.1691,0.16852,0.16795,0.16738,0.16681,0.16624,0.16568,0.16511,0.16455,0.16399,0.16344,0.16288,0.16233,0.16178,0.16123,0.16068,0.16014,0.1596,0.15906,0.15852,0.15799,0.15745,0.15692,0.1564,0.15587,0.15535,0.15483,0.15431,0.1538,0.15328,0.15278,0.15227,0.15176,0.15126,0.15076,0.15027,0.14978,0.14929,0.1488,0.14831,0.14783,0.14735,0.14688,0.1464,0.14594,0.14547,0.14501,0.14455,0.14409,0.14363,0.14318,0.14274,0.14229,0.14185,0.14141,0.14098,0.14055,0.14012,0.1397,0.13927,0.13886,0.13844,0.13803,0.13763,0.13722,0.13682,0.13643,0.13604,0.13565,0.13526,0.13488,0.1345,0.13413,0.13376,0.1334,0.13303,0.13268,0.13232,0.13197,0.13163,0.13128,0.13095,0.13061,0.13028,0.12996,0.12964,0.12932,0.12901,0.1287,0.12839,0.12809,0.1278,0.1275,0.12722,0.12693,0.12666,0.12638,0.12611,0.12585,0.12559,0.12533,0.12508,0.12484,0.12459,0.12436,0.12413,0.1239,0.12368,0.12346,0.12324,0.12304,0.12283,0.12263,0.12244,0.12225,0.12207,0.12189,0.12172,0.12155,0.12139,0.12123,0.12107,0.12093,0.12078,0.12065,0.12052,0.12039,0.12027,0.12015,0.12004,0.11994,0.11984,0.11974,0.11965,0.11957,0.11949,0.11942,0.11935,0.11929,0.11924,0.11919,0.11914,0.11911,0.11907,0.11905,0.11903,0.11901,0.119,0.119
0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.41498,0.41306,0.40842,0.40174,0.39371,0.385,0.37629,0.36826,0.36158,0.35694,0.35502,0.35668,0.36198,0.37005,0.38003,0.39105,0.40224,0.41273,0.42167,0.42818,0.43141,0.43153,0.43118,0.43057,0.4297,0.42858,0.42724,0.42569,0.42394,0.422,0.4199,0.41764,0.41524,0.41272,0.41009,0.40736,0.40455,0.40168,0.39875,0.39579,0.39281,0.38981,0.38683,0.38387,0.38094,0.37807,0.37526,0.37253,0.36989,0.36737,0.36497,0.36271,0.3606,0.35866,0.3569,0.35535,0.354,0.35277,0.35154,0.35031,0.34909,0.34786,0.34665,0.34543,0.34422,0.34302,0.34181,0.34061,0.33942,0.33823,0.33704,0.33586,0.33468,0.3335,0.33233,0.33116,0.33,0.32884,0.32769,0.32654,0.32539,0.32425,0.32312,0.32199,0.32086,0.31974,0.31862,0.31751,0.31641,0.31531,0.31421,0.31312,0.31204,0.31096,0.30988,0.30881,0.30775,0.30669,0.30564,0.3046,0.30356,0.30252,0.3015,0.30047,0.29946,0.29845,0.29745,0.29645,0.29546,0.29448,0.2935,0.29253,0.29156,0.29061,0.28966,0.28871,0.28778,0.28685,0.28592,0.28501,0.2841,0.2832,0.28231,0.28142,0.28054,0.27967,0.27881,0.27795,0.2771,0.27626,0.27543,0.2746,0.27379,0.27298,0.27218,0.27138,0.2706,0.26982,0.26905,0.2683,0.26754,0.2668,0.26607,0.26534,0.26463,0.26392,0.26322,0.26253,0.26185,0.26118,0.26052,0.25987,0.25922,0.25859,0.25796,0.25735,0.25674,0.25615,0.25556,0.25498,0.25441,0.25386,0.25331,0.25277,0.25225,0.25173,0.25122,0.25072,0.25024,0.24976,0.2493,0.24884,0.2484,0.24796,0.24754,0.24713,0.24673,0.24634,0.24596,0.24559,0.24523,0.24489,0.24455,0.24423,0.24392,0.24362,0.24333,0.24305,0.24278,0.24253,0.24229,0.24205,0.24184,0.24163,0.24143,0.24125,0.24108,0.24092,0.24078,0.24064,0.24052,0.24041,0.24032,0.24023,0.24016,0.2401,0.24006,0.24003,0.24001,0.24
0.639,0.6395,0.64003,0.6405,0.64085,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.64097,0.63802,0.63091,0.62067,0.60836,0.595,0.58164,0.56933,0.55909,0.55198,0.54903,0.55159,0.55972,0.57212,0.58744,0.60436,0.62155,0.63767,0.65139,0.66139,0.66634,0.66653,0.666,0.66506,0.66373,0.66202,0.65996,0.65758,0.65489,0.65192,0.64869,0.64523,0.64154,0.63766,0.63362,0.62942,0.62509,0.62066,0.61615,0.61157,0.60696,0.60233,0.59771,0.59311,0.58856,0.58409,0.57971,0.57545,0.57133,0.56737,0.56359,0.56001,0.55667,0.55357,0.55075,0.54821,0.546,0.54395,0.54191,0.53987,0.53783,0.5358,0.53377,0.53175,0.52973,0.52771,0.5257,0.52369,0.52169,0.51969,0.5177,0.51571,0.51373,0.51176,0.50979,0.50782,0.50586,0.50391,0.50196,0.50002,0.49809,0.49616,0.49424,0.49232,0.49042,0.48852,0.48662,0.48474,0.48286,0.48099,0.47912,0.47727,0.47542,0.47358,0.47175,0.46992,0.46811,0.4663,0.46451,0.46272,0.46094,0.45917,0.45741,0.45565,0.45391,0.45218,0.45046,0.44874,0.44704,0.44535,0.44366,0.44199,0.44033,0.43868,0.43704,0.43541,0.43379,0.43219,0.43059,0.42901,0.42743,0.42587,0.42432,0.42279,0.42126,0.41975,0.41825,0.41676,0.41529,0.41383,0.41238,0.41094,0.40952,0.40811,0.40671,0.40533,0.40396,0.40261,0.40127,0.39994,0.39863,0.39733,0.39605,0.39478,0.39353,0.39229,0.39106,0.38985,0.38866,0.38748,0.38632,0.38517,0.38404,0.38293,0.38183,0.38074,0.37968,0.37863,0.37759,0.37658,0.37558,0.37459,0.37363,0.37268,0.37175,0.37084,0.36994,0.36906,0.3682,0.36736,0.36654,0.36573,0.36494,0.36417,0.36343,0.36269,0.36198,0.36129,0.36062,0.35996,0.35933,0.35871,0.35812,0.35754,0.35699,0.35645,0.35594,0.35544,0.35497,0.35452,0.35408,0.35367,0.35328,0.35291,0.35256,0.35224,0.35193,0.35165,0.35139,0.35115,0.35093,0.35074,0.35057,0.35042,0.35029,0.35019,0.3501,0.35005,0.35001,0.35
0.873,0.8735,0.87403,0.8745,0.87485,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.87497,0.87105,0.86162,0.84804,0.83171,0.814,0.79629,0.77996,0.76638,0.75695,0.75303,0.75645,0.76731,0.78386,0.80431,0.82688,0.84982,0.87133,0.88965,0.903,0.9096,0.90984,0.90905,0.90765,0.90566,0.90313,0.90007,0.89653,0.89254,0.88813,0.88333,0.87819,0.87273,0.86698,0.86098,0.85476,0.84836,0.84181,0.83514,0.82839,0.82158,0.81476,0.80796,0.8012,0.79452,0.78796,0.78155,0.77533,0.76932,0.76355,0.75807,0.75291,0.7481,0.74367,0.73965,0.73608,0.733,0.73017,0.72735,0.72454,0.72173,0.71893,0.71614,0.71336,0.71058,0.70782,0.70506,0.70231,0.69957,0.69683,0.69411,0.69139,0.68869,0.68599,0.6833,0.68062,0.67795,0.6753,0.67265,0.67001,0.66738,0.66476,0.66216,0.65956,0.65698,0.6544,0.65184,0.64929,0.64675,0.64422,0.64171,0.6392,0.63671,0.63423,0.63177,0.62931,0.62687,0.62444,0.62203,0.61962,0.61724,0.61486,0.6125,0.61015,0.60782,0.6055,0.60319,0.6009,0.59863,0.59637,0.59412,0.59189,0.58967,0.58747,0.58529,0.58312,0.58097,0.57883,0.57671,0.5746,0.57251,0.57044,0.56839,0.56635,0.56433,0.56232,0.56034,0.55837,0.55642,0.55448,0.55257,0.55067,0.54879,0.54693,0.54509,0.54326,0.54146,0.53967,0.53791,0.53616,0.53443,0.53272,0.53103,0.52937,0.52772,0.52609,0.52448,0.5229,0.52133,0.51978,0.51826,0.51676,0.51528,0.51382,0.51238,0.51096,0.50956,0.50819,0.50684,0.50551,0.50421,0.50292,0.50166,0.50043,0.49921,0.49802,0.49685,0.49571,0.49459,0.49349,0.49242,0.49137,0.49035,0.48935,0.48838,0.48743,0.4865,0.4856,0.48473,0.48388,0.48306,0.48226,0.48149,0.48074,0.48002,0.47933,0.47867,0.47803,0.47741,0.47683,0.47627,0.47574,0.47523,0.47475,0.47431,0.47388,0.47349,0.47313,0.47279,0.47248,0.4722,0.47195,0.47173,0.47154,0.47137,0.47124,0.47113,0.47106,0.47102,0.471
1.117,1.1178,1.1185,1.1193,1.1198,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.1151,1.1033,1.0864,1.0661,1.044,1.0219,1.0016,0.98468,0.97292,0.96804,0.97233,0.98594,1.0067,1.0323,1.0606,1.0894,1.1163,1.1393,1.156,1.1643,1.1646,1.1634,1.1613,1.1583,1.1545,1.1499,1.1447,1.1387,1.1321,1.125,1.1174,1.1093,1.1007,1.0919,1.0827,1.0733,1.0637,1.0539,1.044,1.0341,1.0241,1.0143,1.0045,0.99493,0.98554,0.97642,0.96761,0.95917,0.95114,0.94359,0.93655,0.93009,0.92425,0.91909,0.91465,0.911,0.90776,0.90453,0.90132,0.89813,0.89495,0.89179,0.88864,0.88551,0.88239,0.87929,0.87621,0.87314,0.87009,0.86705,0.86403,0.86103,0.85804,0.85507,0.85212,0.84918,0.84626,0.84336,0.84047,0.83761,0.83475,0.83192,0.8291,0.8263,0.82352,0.82075,0.81801,0.81528,0.81256,0.80987,0.80719,0.80453,0.80189,0.79927,0.79666,0.79408,0.79151,0.78896,0.78643,0.78392,0.78142,0.77895,0.77649,0.77406,0.77164,0.76924,0.76686,0.7645,0.76216,0.75983,0.75753,0.75525,0.75299,0.75074,0.74852,0.74631,0.74413,0.74197,0.73982,0.7377,0.73559,0.73351,0.73145,0.7294,0.72738,0.72538,0.7234,0.72144,0.7195,0.71758,0.71569,0.71381,0.71196,0.71012,0.70831,0.70652,0.70475,0.703,0.70128,0.69957,0.69789,0.69623,0.69459,0.69298,0.69138,0.68981,0.68826,0.68673,0.68523,0.68375,0.68229,0.68085,0.67943,0.67804,0.67667,0.67533,0.67401,0.67271,0.67143,0.67018,0.66895,0.66774,0.66656,0.6654,0.66427,0.66316,0.66207,0.66101,0.65997,0.65895,0.65796,0.65699,0.65605,0.65513,0.65424,0.65337,0.65253,0.65171,0.65091,0.65014,0.6494,0.64868,0.64798,0.64731,0.64667,0.64605,0.64546,0.64489,0.64435,0.64383,0.64334,0.64287,0.64244,0.64202,0.64164,0.64127,0.64094,0.64063,0.64035,0.64009,0.63987,0.63966,0.63949,0.63934,0.63922,0.63912,0.63905,0.63901,0.639
1.371,1.3718,1.3725,1.3733,1.3738,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.374,1.3739,1.3676,1.3523,1.3303,1.3037,1.275,1.2463,1.2197,1.1977,1.1824,1.1761,1.1816,1.1991,1.2257,1.2587,1.295,1.332,1.3667,1.3962,1.4177,1.4283,1.4286,1.4268,1.4236,1.4192,1.4135,1.4066,1.3987,1.3898,1.38,1.3694,1.358,1.346,1.3334,1.3203,1.3069,1.2931,1.279,1.2648,1.2505,1.2362,1.222,1.208,1.1942,1.1808,1.1677,1.1552,1.1432,1.1319,1.1213,1.1116,1.1027,1.0949,1.0881,1.0825,1.0781,1.075,1.0726,1.0702,1.0679,1.0656,1.0633,1.061,1.0587,1.0564,1.0542,1.052,1.0498,1.0476,1.0455,1.0433,1.0412,1.0391,1.037,1.0349,1.0329,1.0309,1.0288,1.0268,1.0249,1.0229,1.021,1.019,1.0171,1.0153,1.0134,1.0115,1.0097,1.0079,1.0061,1.0043,1.0025,1.0008,0.99906,0.99735,0.99565,0.99397,0.99231,0.99067,0.98904,0.98744,0.98584,0.98427,0.98271,0.98117,0.97965,0.97814,0.97665,0.97518,0.97372,0.97228,0.97086,0.96945,0.96806,0.96669,0.96533,0.96399,0.96267,0.96136,0.96007,0.95879,0.95754,0.95629,0.95507,0.95385,0.95266,0.95148,0.95032,0.94917,0.94804,0.94693,0.94583,0.94474,0.94367,0.94262,0.94159,0.94056,0.93956,0.93857,0.93759,0.93663,0.93569,0.93476,0.93385,0.93295,0.93206,0.9312,0.93034,0.9295,0.92868,0.92787,0.92708,0.9263,0.92554,0.92479,0.92405,0.92333,0.92263,0.92194,0.92126,0.9206,0.91995,0.91932,0.9187,0.9181,0.91751,0.91693,0.91637,0.91582,0.91529,0.91477,0.91426,0.91377,0.9133,0.91283,0.91238,0.91195,0.91152,0.91112,0.91072,0.91034,0.90997,0.90962,0.90928,0.90895,0.90864,0.90834,0.90805,0.90777,0.90751,0.90727,0.90703,0.90681,0.9066,0.90641,0.90622,0.90605,0.9059,0.90575,0.90562,0.9055,0.9054,0.9053,0.90522,0.90515,0.9051,0.90506,0.90502,0.90501,0.905
1.634,1.634,1.634,1.634,1.634,1.634,1.634,1.6341,1.6342,1.6344,1.6346,1.6348,1.6351,1.6353,1.6356,1.6359,1.6362,1.6365,1.6368,1.637,1.6373,1.6375,1.6377,1.6378,1.6379,1.638,1.638,1.638,1.638,1.638,1.638,1.638,1.638,1.638,1.638,1.638,1.638,1.638,1.638,1.638,1.638,1.638,1.638,1.638,1.638,1.638,1.6379,1.6295,1.6094,1.5803,1.5454,1.5075,1.4696,1.4347,1.4056,1.3855,1.3771,1.3827,1.4008,1.4283,1.4623,1.4998,1.538,1.5737,1.6042,1.6264,1.6373,1.6375,1.6353,1.6314,1.6259,1.6189,1.6104,1.6007,1.5897,1.5777,1.5646,1.5507,1.536,1.5206,1.5046,1.4882,1.4714,1.4543,1.4371,1.4198,1.4025,1.3854,1.3686,1.3521,1.3361,1.3207,1.3059,1.2919,1.2788,1.2667,1.2556,1.2458,1.2372,1.23,1.2244,1.2203,1.218,1.2166,1.2151,1.2137,1.2123,1.2109,1.2095,1.2082,1.2068,1.2055,1.2042,1.2029,1.2016,1.2003,1.199,1.1977,1.1965,1.1953,1.194,1.1928,1.1916,1.1905,1.1893,1.1881,1.187,1.1859,1.1847,1.1836,1.1825,1.1814,1.1804,1.1793,1.1783,1.1772,1.1762,1.1752,1.1742,1.1732,1.1722,1.1712,1.1703,1.1693,1.1684,1.1675,1.1666,1.1657,1.1648,1.1639,1.163,1.1622,1.1613,1.1605,1.1597,1.1589,1.1581,1.1573,1.1565,1.1557,1.155,1.1542,1.1535,1.1528,1.152,1.1513,1.1506,1.15,1.1493,1.1486,1.148,1.1473,1.1467,1.146,1.1454,1.1448,1.1442,1.1436,1.1431,1.1425,1.1419,1.1414,1.1408,1.1403,1.1398,1.1393,1.1388,1.1383,1.1378,1.1373,1.1368,1.1364,1.1359,1.1355,1.1351,1.1346,1.1342,1.1338,1.1334,1.133,1.1326,1.1323,1.1319,1.1315,1.1312,1.1309,1.1305,1.1302,1.1299,1.1296,1.1293,1.129,1.1287,1.1284,1.1281,1.1279,1.1276,1.1274,1.1271,1.1269,1.1267,1.1265,1.1263,1.1261,1.1259,1.1257,1.1255,1.1253,1.1251,1.125,1.1248,1.1247,1.1245,1.1244,1.1243,1.1242,1.124,1.1239,1.1238,1.1237,1.1236,1.1236,1.1235,1.1234,1.1233,1.1233,1.1232,1.1232,1.1231,1.1231,1.1231,1.123,1.123,1.123,1.123,1.123
1.907,1.907,1.907,1.907,1.907,1.907,1.907,1.9071,1.9072,1.9074,1.9076,1.9078,1.9081,1.9083,1.9086,1.9089,1.9092,1.9095,1.9098,1.91,1.9103,1.9105,1.9107,1.9108,1.9109,1.911,1.911,1.911,1.911,1.911,1.911,1.911,1.911,1.911,1.911,1.911,1.911,1.911,1.911,1.911,1.911,1.911,1.911,1.911,1.911,1.911,1.9109,1.9,1.8736,1.8357,1.79,1.7405,1.691,1.6453,1.6074,1.581,1.5701,1.5775,1.6011,1.637,1.6814,1.7305,1.7803,1.827,1.8668,1.8958,1.9101,1.9104,1.9076,1.9026,1.8956,1.8867,1.8759,1.8635,1.8496,1.8343,1.8178,1.8001,1.7815,1.762,1.7418,1.7211,1.6998,1.6783,1.6566,1.6348,1.6132,1.5917,1.5707,1.5501,1.5301,1.5109,1.4926,1.4753,1.4592,1.4443,1.4309,1.4191,1.4089,1.4006,1.3943,1.39,1.388,1.3871,1.3863,1.3855,1.3846,1.3838,1.383,1.3822,1.3814,1.3806,1.3798,1.3791,1.3783,1.3775,1.3768,1.3761,1.3753,1.3746,1.3739,1.3732,1.3725,1.3718,1.3711,1.3704,1.3698,1.3691,1.3685,1.3678,1.3672,1.3666,1.3659,1.3653,1.3647,1.3641,1.3635,1.3629,1.3624,1.3618,1.3612,1.3607,1.3601,1.3596,1.359,1.3585,1.358,1.3575,1.357,1.3565,1.356,1.3555,1.355,1.3545,1.3541,1.3536,1.3532,1.3527,1.3523,1.3518,1.3514,1.351,1.3506,1.3502,1.3497,1.3494,1.349,1.3486,1.3482,1.3478,1.3475,1.3471,1.3467,1.3464,1.346,1.3457,1.3454,1.3451,1.3447,1.3444,1.3441,1.3438,1.3435,1.3432,1.3429,1.3426,1.3424,1.3421,1.3418,1.3416,1.3413,1.3411,1.3408,1.3406,1.3403,1.3401,1.3399,1.3397,1.3395,1.3392,1.339,1.3388,1.3386,1.3385,1.3383,1.3381,1.3379,1.3377,1.3376,1.3374,1.3372,1.3371,1.3369,1.3368,1.3366,1.3365,1.3364,1.3362,1.3361,1.336,1.3359,1.3358,1.3357,1.3356,1.3355,1.3354,1.3353,1.3352,1.3351,1.335,1.3349,1.3348,1.3348,1.3347,1.3346,1.3346,1.3345,1.3345,1.3344,1.3344,1.3343,1.3343,1.3342,1.3342,1.3342,1.3341,1.3341,1.3341,1.3341,1.334,1.334,1.334,1.334,1.334,1.334,1.334
2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.187,2.1869,2.1729,2.1393,2.0909,2.0327,1.9695,1.9063,1.8481,1.7997,1.7661,1.7521,1.7616,1.7917,1.8375,1.8942,1.9567,2.0203,2.0799,2.1306,2.1676,2.1859,2.1863,2.1829,2.1769,2.1685,2.1577,2.1448,2.1299,2.1131,2.0947,2.0749,2.0537,2.0313,2.0079,1.9837,1.9588,1.9334,1.9076,1.8816,1.8556,1.8298,1.8042,1.7791,1.7546,1.7309,1.7082,1.6865,1.6662,1.6472,1.6299,1.6143,1.6007,1.5891,1.5798,1.5729,1.5686,1.567,1.5668,1.5667,1.5665,1.5664,1.5662,1.566,1.5659,1.5657,1.5656,1.5654,1.5653,1.5652,1.565,1.5649,1.5647,1.5646,1.5645,1.5643,1.5642,1.5641,1.5639,1.5638,1.5637,1.5635,1.5634,1.5633,1.5632,1.5631,1.5629,1.5628,1.5627,1.5626,1.5625,1.5624,1.5623,1.5621,1.562,1.5619,1.5618,1.5617,1.5616,1.5615,1.5614,1.5613,1.5612,1.5611,1.5611,1.561,1.5609,1.5608,1.5607,1.5606,1.5605,1.5604,1.5604,1.5603,1.5602,1.5601,1.56,1.56,1.5599,1.5598,1.5597,1.5597,1.5596,1.5595,1.5595,1.5594,1.5593,1.5593,1.5592,1.5591,1.5591,1.559,1.559,1.5589,1.5588,1.5588,1.5587,1.5587,1.5586,1.5586,1.5585,1.5585,1.5584,1.5584,1.5583,1.5583,1.5582,1.5582,1.5581,1.5581,1.5581,1.558,1.558,1.5579,1.5579,1.5579,1.5578,1.5578,1.5578,1.5577,1.5577,1.5577,1.5576,1.5576,1.5576,1.5576,1.5575,1.5575,1.5575,1.5575,1.5574,1.5574,1.5574,1.5574,1.5573,1.5573,1.5573,1.5573,1.5573,1.5572,1.5572,1.5572,1.5572,1.5572,1.5572,1.5572,1.5571,1.5571,1.5571,1.5571,1.5571,1.5571,1.5571,1.5571,1.5571,1.5571,1.557,1.557,1.557,1.557,1.557,1.557,1.557,1.557,1.557,1.557,1.557,1.557,1.557,1.557,1.557
