0.1,10,0.971,1.357,1.357,1.001,1.001,1.932,2.138,2.138,0,12.253,190.236,190.236,14911510
0.5,10,0.979,1.366,1.366,1.01,1.01,1.931,2.138,2.138,0,12.253,190.236,190.236,74557540
1.1,10,1.644,2.174,2.174,1.695,1.695,2.569,2.907,2.676,0.231,16.36,189.401,190.456,164026600
2,10,1.233,1.777,1.777,1.271,1.271,2.759,3.026,2.933,0.093,17.62,188.487,187.567,298230200
5,10,0.966,1.421,1.421,0.996,0.996,2.328,2.539,2.006,0.533,11.706,175.541,186.33,745575400
0.1,11,0.971,1.438,1.438,1.008,1.008,2.117,2.352,2.352,0,12.253,190.236,190.236,14911510
0.5,11,0.979,1.447,1.447,1.016,1.016,2.115,2.352,2.352,0,12.253,190.236,190.236,74557540
1.1,11,1.644,2.279,2.279,1.706,1.706,2.785,3.169,2.944,0.225,16.36,189.928,190.456,164026600
2,11,1.233,1.893,1.893,1.28,1.28,3.033,3.338,3.227,0.112,17.62,188.316,187.567,298230200
5,11,0.966,1.523,1.523,1.002,1.002,2.581,2.824,2.206,0.618,11.706,175.045,186.33,745575400
0.1,12,0.971,1.526,1.526,1.015,1.015,2.299,2.566,2.566,0,12.253,190.236,190.236,14911510
0.5,12,0.979,1.535,1.535,1.024,1.024,2.297,2.566,2.566,0,12.253,190.236,190.236,74557540
1.1,12,1.644,2.391,2.391,1.718,1.718,2.984,3.416,3.211,0.204,16.36,190.643,190.456,164026600
2,12,1.233,2.039,2.039,1.289,1.289,3.396,3.746,3.52,0.226,17.62,186.731,187.567,298230200
5,12,0.966,1.635,1.635,1.009,1.009,2.839,3.117,2.407,0.71,11.706,174.545,186.33,745575400
0.1,13,0.971,1.622,1.622,1.023,1.023,2.479,2.78,2.78,0,12.253,190.236,190.236,14911510
0.5,13,0.979,1.631,1.631,1.032,1.032,2.477,2.78,2.78,0,12.253,190.236,190.236,74557540
1.1,13,1.644,2.507,2.507,1.731,1.731,3.161,3.644,3.479,0.165,16.36,191.558,190.456,164026600
2,13,1.233,2.235,2.235,1.299,1.299,3.909,4.312,3.813,0.499,17.62,183.451,187.567,298230200
5,13,0.966,1.76,1.76,1.017,1.017,3.1,3.416,2.607,0.809,11.706,174.037,186.33,745575400
0.1,14,0.971,1.725,1.725,1.031,1.031,2.655,2.994,2.994,0,12.253,190.236,190.236,14911510
0.5,14,0.979,1.734,1.734,1.04,1.04,2.653,2.994,2.994,0,12.253,190.236,190.236,74557540
1.1,14,1.644,2.644,2.644,1.746,1.746,3.387,3.926,3.746,0.18,16.36,191.534,190.456,164026600
2,14,1.233,2.469,2.469,1.31,1.31,4.49,4.954,4.107,0.847,17.62,180.176,187.567,298230200
5,14,0.966,1.896,1.896,1.026,1.026,3.365,3.724,2.808,0.916,11.706,173.521,186.33,745575400
0.1,15,0.971,1.835,1.835,1.041,1.041,2.829,3.208,3.208,0,12.253,190.236,190.236,14911510
0.5,15,0.979,1.844,1.844,1.05,1.05,2.827,3.208,3.208,0,12.253,190.236,190.236,74557540
1.1,15,1.644,2.794,2.794,1.762,1.762,3.62,4.22,4.014,0.206,16.36,191.345,190.456,164026600
2,15,1.233,2.709,2.709,1.322,1.322,5.004,5.535,4.4,1.135,17.62,178.158,187.567,298230200
5,15,0.966,2.045,2.045,1.035,1.035,3.634,4.039,3.009,1.031,11.706,173,186.33,745575400
